Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
LRRC25,388496,,Karyotype,30211
TMEM241,846352,,Karyotype,30013
TBL2,120980,,Karyotype,29605
FAN1,999523,,Karyotype,29075
LINC02151,473707,,Karyotype,29289
PHYHIP,205520,,Karyotype,29197
MUC5B,891576,,Karyotype,29057
TOLLIP,224449,,Karyotype,29414
MAPT-AS1,808624,,Karyotype,29820
MDGA2,113855,,Karyotype,29501
LINC02883,757536,,Karyotype,29638
TTYH1,511874,,Karyotype,29817
GPRIN3,626387,,Karyotype,29975
CHPF2,980031,,Karyotype,29887
CBX7,398326,,Karyotype,29569
RN7SL304P,349486,,Karyotype,30006
SRP54-AS1,401418,,Karyotype,30017
FBRS,346977,,Karyotype,30199
LINC02917,956779,,Karyotype,30107
BNIP1,801080,,Karyotype,28964
LINC02006,933398,,Karyotype,29691
SIK3,370243,,Karyotype,29407
ZGPAT,698964,,Karyotype,29181
LINC02940,319155,,Karyotype,29194
IKZF3,791622,,Karyotype,29000
ZNF300,724976,,Karyotype,30282
INAVA,687637,,Karyotype,29645
IFNG-AS1,693794,,Karyotype,29296
MUC19,486471,,Karyotype,29733
LINC02635,500008,,Karyotype,30097
IL27,198236,,Karyotype,29323
LINC03004,648315,,Karyotype,29959
GPR35,936825,,Karyotype,30044
FGFR1OP2P1,624934,,Karyotype,29541
CDC37,375996,,Karyotype,29133
RORC,738384,,Karyotype,29660
ADCY3,621051,,Karyotype,30275
TSPAN14,664892,,Karyotype,30080
FOSL2-AS1,706152,,Karyotype,30009
WT1-AS,916144,,Karyotype,29722
CWC27,995690,,Karyotype,29774
PRIMA1,178006,,Karyotype,29459
COX6CP6,315034,,Karyotype,29451
LINC02017,426743,,Karyotype,29050
MTUS2,803910,,Karyotype,29717
P2RY2,628361,,Karyotype,29165
LINC02055,953994,,Karyotype,29268
LRRC34,801381,,Karyotype,29886
DPP9,677250,,Karyotype,29692
FAM13A,146436,,Karyotype,29287
ATP11A,646068,,Karyotype,29478
AZGP1P1,397688,,Karyotype,30165
STN1,774776,,Karyotype,29120
DEPTOR,947083,,Karyotype,29930
PMF1,615919,,Karyotype,29522
RNU105C,977341,,Karyotype,30203
BOLL,451525,,Karyotype,29082
BET1L,545477,,Karyotype,29114
RNU6-1032P,869394,,Karyotype,29196
ANKRD44-IT1,202267,,Karyotype,29681
STARD13,443285,,Karyotype,29240
DAGLB,991673,,Karyotype,29422
LINC01765,387470,,Karyotype,29859
MIA-RAB4B,960490,,Karyotype,29237
CENPU,604204,,Karyotype,29892
NRG3,466312,,Karyotype,30201
TENM2,376143,,Karyotype,29656
RNA5SP86,415224,,Karyotype,29970
RPL37A,379236,,Karyotype,29961
LNCTSI,876910,,Karyotype,29282
LINC02103,526653,,Karyotype,30195
DYNC1I1,560930,,Karyotype,29048
LINC02752,141133,,Karyotype,30128
RIPK2,482705,,Karyotype,28998
LINC02227,806698,,Karyotype,29149
SYT16,835352,,Karyotype,29586
BPTF,382236,,Karyotype,28963
NOP56P1,403509,,Karyotype,29012
MTMR3,447487,,Karyotype,29958
TNFRSF19,801529,,Karyotype,29733
HYKK,717119,,Karyotype,29821
CPSF6,607743,,Karyotype,29687
LINC02853,305971,,Karyotype,29456
ZNF608,218189,,Karyotype,29618
LINC01847,144560,,Karyotype,29824
FGF12,732669,,Karyotype,29550
AK8,100852,,Karyotype,29774
KCNH5,595721,,Karyotype,29323
LINC01559,514361,,Karyotype,29008
ESRRG,184734,,Karyotype,28995
SLC44A3P1,661798,,Karyotype,29788
PCDH1,953107,,Karyotype,29008
TIMM17BP1,997659,,Karyotype,29907
LINC02473,542115,,Karyotype,29246
RASGEF1B,699882,,Karyotype,29110
MYO10,811590,,Karyotype,29183
SUNO1,434168,,Karyotype,29376
BTF3P9,584006,,Karyotype,28948
RFPL4A,990957,,Karyotype,29401
PIEZO2,803351,,Karyotype,29851
LINC01038,534587,,Karyotype,29174
PPIAP76,205896,,Karyotype,30120
RNU6-1060P,513794,,Karyotype,29443
PCLO,353334,,Karyotype,29516
EHHADH-AS1,536737,,Karyotype,30089
PBRM1,326165,,Karyotype,29634
LINC01432,523290,,Karyotype,29004
SPPL2C,862215,,Karyotype,29682
MTCO2P25,596364,,Karyotype,30264
LINC02850,859553,,Karyotype,29075
CDK10,202153,,Karyotype,30028
AFG3L1P,538840,,Karyotype,29159
COX8BP,205246,,Karyotype,28944
CPQ,574007,,Karyotype,30254
MEF2D,557893,,Karyotype,29213
ASTN2,742301,,Karyotype,29201
UFL1-AS1,489079,,Karyotype,29273
MMP17,699070,,Karyotype,29487
MARCHF4,307341,,Karyotype,29789
NT5C2,585647,,Karyotype,29757
TRPM8,611995,,Karyotype,29744
LINC02780,121750,,Karyotype,28941
RNU1-148P,911501,,Karyotype,29827
HAUS1,516576,,Karyotype,30060
FHL5,551565,,Karyotype,29911
SUGCT,519669,,Karyotype,29010
EPB41L2,111920,,Karyotype,30286
MIR4272,359922,,Karyotype,30227
FGF6,767083,,Karyotype,29233
DSTN,440472,,Karyotype,30149
LINC00877,403133,,Karyotype,29245
RNU6-896P,803498,,Karyotype,29516
CDH4,610429,,Karyotype,29833
OTUD6B-AS1,563389,,Karyotype,29470
SV2C,362784,,Karyotype,29420
XKR4,603036,,Karyotype,29586
PHF20,652321,,Karyotype,29911
RABGAP1L,713898,,Karyotype,29638
COX7B2,137815,,Karyotype,30215
PTPRD,703455,,Karyotype,29411
ATP7BP1,492580,,Karyotype,29953
RNU6-1213P,292469,,Karyotype,28955
OR4S1,277995,,Karyotype,30180
STK10,631640,,Karyotype,28972
CASZ1,205393,,Karyotype,29995
SUV39H2,301965,,Karyotype,29187
LINC02646,378414,,Karyotype,29197
IRAG1,525117,,Karyotype,29271
ASAP1,541903,,Karyotype,29312
LEPROTL1,691741,,Karyotype,29035
TMEM51,695074,,Karyotype,29364
PAPPA,911085,,Karyotype,29369
KCNK5,642322,,Karyotype,30268
MRPL37,721087,,Karyotype,29137
CLVS1,273644,,Karyotype,30214
WASL,869531,,Karyotype,29334
POU5F1P2,860197,,Karyotype,29603
ARL15,480389,,Karyotype,29151
POLD2P1,206716,,Karyotype,29725
ZDHHC6,545641,,Karyotype,29071
RSU1,259050,,Karyotype,29778
TUBB4BP7,542979,,Karyotype,29819
MIR4527HG,785579,,Karyotype,29892
NR2F2-AS1,862300,,Karyotype,29903
GPR182,788671,,Karyotype,29816
NRP1,809548,,Karyotype,30118
LINC00200,111803,,Karyotype,30218
LINC02641,465448,,Karyotype,30065
SNX24,747117,,Karyotype,29092
KSR2,899617,,Karyotype,30050
SNRPEP6,461565,,Karyotype,30232
HNRNPA3P8,269072,,Karyotype,29452
LINC00707,867386,,Karyotype,29179
CNPY1,850586,,Karyotype,29531
FARP1,524155,,Karyotype,29037
RLIG1P3,477114,,Karyotype,29619
RNU4-35P,635017,,Karyotype,29257
WAPL,951005,,Karyotype,29573
LINC02109,647071,,Karyotype,29845
KATNBL1P4,703339,,Karyotype,29312
HCG20,215228,,Karyotype,29792
INHBA,809473,,Karyotype,29539
PSTK,880793,,Karyotype,30112
PPIAP39,886950,,Karyotype,30084
CENPF,570968,,Karyotype,29900
ATF7,558921,,Karyotype,29030
SESTD1,302583,,Karyotype,30284
LINC01440,134373,,Karyotype,29100
MOG,229981,,Karyotype,29651
LINC02153,674437,,Karyotype,30013
ADARB2,569152,,Karyotype,29605
LINC02156,795343,,Karyotype,29275
VSTM4,728121,,Karyotype,29817
LIMCH1,363500,,Karyotype,29823
CTIF,513536,,Karyotype,29197
LYZL1,832187,,Karyotype,30144
LINC02782,768079,,Karyotype,29513
SLC35D2,456188,,Karyotype,29931
BPIFC,444718,,Karyotype,29061
RPL36AP26,617005,,Karyotype,30011
DLG2,696126,,Karyotype,30180
SLC24A3,544403,,Karyotype,30129
DYNLL2-DT,378500,,Karyotype,30089
RNF213,717424,,Karyotype,29456
SDR9C7,217089,,Karyotype,29001
SYPL1P1,956628,,Karyotype,29570
LINC01752,344676,,Karyotype,28948
HJURP,940562,,Karyotype,30279
ZCCHC14-DT,967932,,Karyotype,29871
SPINK2,996586,,Karyotype,29239
CYB5AP3,437364,,Karyotype,29688
CCM2L,136254,,Karyotype,29509
ADAMTSL4-AS2,918901,,Karyotype,29715
YAP1,221512,,Karyotype,29907
RPL32P36,162550,,Karyotype,29980
LINC02238,970035,,Karyotype,29848
LINC02730,467204,,Karyotype,29904
ZNF736,379422,,Karyotype,30082
MPPED2,219538,,Karyotype,29297
LMCD1-AS1,573183,,Karyotype,30029
CBR1-AS1,859579,,Karyotype,30036
SIPA1L1-AS1,659467,,Karyotype,30141
GLIS1,977762,,Karyotype,28966
LINC01013,499721,,Karyotype,29235
CMTM7,975121,,Karyotype,28962
RN7SL231P,958321,,Karyotype,29167
OTUD7A,479800,,Karyotype,30049
LINC02414,458344,,Karyotype,29402
GPM6A,119864,,Karyotype,29270
PARVA,435853,,Karyotype,29356
ADAMTS12,637711,,Karyotype,29131
DUSP10,188187,,Karyotype,29441
KCNK13,252191,,Karyotype,29925
IFNL3,299049,,Karyotype,29458
HAGLR,365641,,Karyotype,29899
PAX8-AS1,946410,,Karyotype,30047
NDUFB5P1,909492,,Karyotype,29683
UNC5B,514567,,Karyotype,30038
DSEL,687430,,Karyotype,30248
AKAP7,171336,,Karyotype,29808
MANCR,760239,,Karyotype,29129
ILF2,711400,,Karyotype,29841
LINC01411,954000,,Karyotype,29433
POLQ,700067,,Karyotype,30243
SLC2A13P1,490082,,Karyotype,29198
DTNB,700073,,Karyotype,29651
LINC02269,280224,,Karyotype,29906
ULK4,648986,,Karyotype,29626
MIR124-1HG,182156,,Karyotype,29171
MED24,601028,,Karyotype,29409
TNKS,329593,,Karyotype,29889
PPP1R3B-DT,378966,,Karyotype,29342
YWHAQP1,627324,,Karyotype,30008
FNDC3A,285624,,Karyotype,29611
OTX2-AS1,140460,,Karyotype,29568
LCOR,479385,,Karyotype,29465
PSORS1C1,449847,,Karyotype,29642
HLA-F-AS1,289387,,Karyotype,29229
CD6,515099,,Karyotype,29080
UBBP1,871760,,Karyotype,30062
MPHOSPH9,507618,,Karyotype,29658
LINC02082,133549,,Karyotype,30184
RPSAP22,842062,,Karyotype,29594
SAYSD1,500362,,Karyotype,29319
MIR548G,403748,,Karyotype,29374
GIP,223481,,Karyotype,30039
VIPR2,526658,,Karyotype,29643
SNTB1,925681,,Karyotype,29631
DOK6,887046,,Karyotype,30037
PPAN,764270,,Karyotype,29364
TRBV7-2,727299,,Karyotype,29080
SMIM12,466493,,Karyotype,30162
PKN2-AS1,344427,,Karyotype,30169
LINC00352,199153,,Karyotype,30105
NBAT1,462609,,Karyotype,29910
ASH1L,367447,,Karyotype,29321
LINC02161,439229,,Karyotype,29046
ARL4C,566082,,Karyotype,29131
XXYLT1,204656,,Karyotype,29133
LAMA1,218194,,Karyotype,28997
SHTN1,698397,,Karyotype,29357
ANKFN1,215553,,Karyotype,29794
BDNF-AS,745446,,Karyotype,29472
TMEM18,766719,,Karyotype,29528
RPL31P12,385510,,Karyotype,29888
PACS1,406783,,Karyotype,29900
RMST,180329,,Karyotype,29863
CCDC77,541751,,Karyotype,29638
KIAA1217,669342,,Karyotype,29893
SLC8A1,130764,,Karyotype,30126
FARS2,918078,,Karyotype,30165
TCF4,796192,,Karyotype,30074
MTATP6P14,867974,,Karyotype,30257
DUS4L-BCAP29,389933,,Karyotype,29634
MCF2L,953075,,Karyotype,29350
GNL3,677885,,Karyotype,29028
SUPT3H,938698,,Karyotype,29115
CAMK2B,417926,,Karyotype,29071
RPL35AP,258042,,Karyotype,30176
DNAH10,278919,,Karyotype,29543
NPM1P14,567429,,Karyotype,29225
NACA2,578846,,Karyotype,29476
LYPLAL1-AS1,882023,,Karyotype,29987
TGFA,827582,,Karyotype,29259
EQTN,605142,,Karyotype,29801
SMC4P1,263442,,Karyotype,30014
COL27A1,241192,,Karyotype,29485
RWDD2B,985492,,Karyotype,29077
BTNL8,979781,,Karyotype,29600
MAP2K6,267205,,Karyotype,30196
USP50,580836,,Karyotype,30183
NT5DC2,849578,,Karyotype,29903
DUBR,437161,,Karyotype,29620
LINC01094,258965,,Karyotype,29672
SLC36A4,196992,,Karyotype,29202
LINC02234,407409,,Karyotype,29112
FSTL5,746599,,Karyotype,28986
TSPAN17,130527,,Karyotype,29656
TFDP1P3,781589,,Karyotype,29108
LINC02680,280612,,Karyotype,29243
SRBD1,221237,,Karyotype,29525
KIAA1755,119201,,Karyotype,29326
ANXA3,982230,,Karyotype,30272
PTPRG,809343,,Karyotype,29277
NKAIN1,251473,,Karyotype,29661
ZNF345,862547,,Karyotype,29018
MARK2P15,240141,,Karyotype,29827
NPAP1P4,622378,,Karyotype,29234
PPIAP1,346275,,Karyotype,30124
LURAP1L,438134,,Karyotype,29048
MDFIC2,161735,,Karyotype,29054
MS4A13,196012,,Karyotype,29140
RPL14P6,159094,,Karyotype,29624
MRPS33P3,172631,,Karyotype,29583
CNN2P10,723264,,Karyotype,29389
SMIM23,396653,,Karyotype,29795
PPM1H,834125,,Karyotype,29309
FTCDNL1,936717,,Karyotype,29816
TIPARP,566610,,Karyotype,30129
RN7SL720P,902448,,Karyotype,29555
SKAP1,134766,,Karyotype,29682
CHMP4C,108582,,Karyotype,29851
LINC02112,513018,,Karyotype,29079
RNU6-609P,753270,,Karyotype,30166
LINC00511,497907,,Karyotype,28991
PLUT,750629,,Karyotype,30071
LINC02831,153807,,Karyotype,30291
LINC01829,785620,,Karyotype,29116
SEC11C,172016,,Karyotype,29553
WNT2B,525661,,Karyotype,29039
LINC01620,836575,,Karyotype,30264
ROR1,795116,,Karyotype,29857
NR5A2,675164,,Karyotype,29662
EEF1A1P40,726302,,Karyotype,29439
PWWP3B,989758,,Karyotype,29577
SAMD12-AS1,204553,,Karyotype,29651
GAK,692137,,Karyotype,29893
NSF,371177,,Karyotype,30102
RBMS3,731805,,Karyotype,29798
FAM47E-STBD1,193227,,Karyotype,29714
TMEM175,658313,,Karyotype,29259
SLC41A1,400523,,Karyotype,28974
DGKQ,340687,,Karyotype,30196
SNCA-AS1,528111,,Karyotype,29687
KANSL1,857003,,Karyotype,30260
PMVK,643813,,Karyotype,29801
RAB29,621562,,Karyotype,28985
LINC01709,792256,,Karyotype,29031
RN7SL813P,231446,,Karyotype,29073
CCNT2-AS1,660786,,Karyotype,29314
TMEM229B,737235,,Karyotype,30245
INPP5F,337425,,Karyotype,29252
BCKDK,606085,,Karyotype,29821
CCDC62,626962,,Karyotype,29109
SPATA19,658812,,Karyotype,30055
DDRGK1,846306,,Karyotype,29414
SIPA1L2,207119,,Karyotype,29444
TMPRSS9,730273,,Karyotype,29986
MIPEP,624988,,Karyotype,29527
RPL36AP23,169444,,Karyotype,30067
KCNQ5,735850,,Karyotype,29479
WWP2,822982,,Karyotype,30189
DENND1A,475811,,Karyotype,28973
NAB1,428771,,Karyotype,29972
DENND1B,473170,,Karyotype,29103
EXOC3L4,834592,,Karyotype,30268
UGT3A1,956022,,Karyotype,30221
RPS6KA4,184197,,Karyotype,29149
PLCL2,596086,,Karyotype,29141
FBXL20,269475,,Karyotype,29171
POU2AF1,819218,,Karyotype,29111
RPL6P8,316524,,Karyotype,29286
MIR4435-2HG,305189,,Karyotype,29160
MOBP,427386,,Karyotype,29329
STX6,274978,,Karyotype,30220
LINC02623,515231,,Karyotype,29757
CD8B,213545,,Karyotype,30004
MYEOV,921052,,Karyotype,29850
CTBP2,815768,,Karyotype,28946
TNRC6B,741266,,Karyotype,30253
CLDN11,679778,,Karyotype,29212
VAMP8,910509,,Karyotype,29172
TUBA1C,873538,,Karyotype,30047
ZBTB38,233641,,Karyotype,29143
CCHCR1,712127,,Karyotype,29441
NUDT11,619612,,Karyotype,29572
LILRA5,479333,,Karyotype,29360
CASC19,589401,,Karyotype,29314
SINHCAFP3,176985,,Karyotype,29483
RGS17,898788,,Karyotype,29761
VPS53,195913,,Karyotype,29608
SIDT1,230190,,Karyotype,30151
AFM,660282,,Karyotype,29346
LINC01162,908284,,Karyotype,29923
SHROOM2,725534,,Karyotype,30283
TRIM8,421421,,Karyotype,30124
SALL3,535536,,Karyotype,30224
ARMC2,751547,,Karyotype,29888
GATA5,237759,,Karyotype,29299
RNU6-500P,904718,,Karyotype,29119
SUCLG2,711670,,Karyotype,29165
DGKK,768520,,Karyotype,29210
LCLAT1,879964,,Karyotype,28979
PNPLA10P,424420,,Karyotype,29335
PCAT1,713820,,Karyotype,29909
PES1P2,351818,,Karyotype,29422
TTLL1,337345,,Karyotype,29650
KRT78,954041,,Karyotype,29377
RFX6,743166,,Karyotype,29882
GOLPH3L,960921,,Karyotype,29403
LINC00399,303521,,Karyotype,29041
TTC28,829295,,Karyotype,29433
SLC7A3,843585,,Karyotype,28992
XAGE3,259553,,Karyotype,29702
ADNP,159237,,Karyotype,29717
RNU4ATAC9P,495075,,Karyotype,29972
SENP1,302006,,Karyotype,29842
NEDD9,518017,,Karyotype,29782
MARCHF8,808685,,Karyotype,29960
TTC9-DT,338421,,Karyotype,30157
TMPRSS2,402425,,Karyotype,30008
NOL10,910392,,Karyotype,29034
RPL23AP61,154759,,Karyotype,29975
EEFSEC,470747,,Karyotype,30154
LCE3E,505736,,Karyotype,29160
KCNH7,110811,,Karyotype,29072
SATB1-AS1,353391,,Karyotype,29429
ANXA6,750772,,Karyotype,30196
LCEP4,796970,,Karyotype,29699
STAT2,727391,,Karyotype,29196
LINC00407,969991,,Karyotype,29509
STX1B,871041,,Karyotype,29812
POLI,640316,,Karyotype,29282
OSTN,441845,,Karyotype,29735
TRERNA1,725418,,Karyotype,29482
ZNF816-ZNF321P,194179,,Karyotype,30052
CAVIN1,243464,,Karyotype,29880
LINC01714,197272,,Karyotype,29638
CLIC6,991987,,Karyotype,30277
PAK5,778776,,Karyotype,29877
QTRT1,560123,,Karyotype,30047
POU2F3,859327,,Karyotype,29452
RUSC2,156452,,Karyotype,29675
TRAF3IP2-AS1,661527,,Karyotype,29541
IREB2,129283,,Karyotype,29210
RNU6-835P,868823,,Karyotype,29663
LINC02953,256871,,Karyotype,29797
PDZD2,416953,,Karyotype,29141
MAP2K5,218962,,Karyotype,30083
GSTO3P,557886,,Karyotype,29402
LINC01304,909104,,Karyotype,29670
EEF1A1P28,588144,,Karyotype,28986
LINC02520,803558,,Karyotype,29909
CCDC148,322430,,Karyotype,30078
SEMA6D,563389,,Karyotype,30205
LINC02086,107845,,Karyotype,30011
RPS10P21,137280,,Karyotype,29299
LINC01478,443706,,Karyotype,28940
CERS2,572886,,Karyotype,29514
GFUS,208265,,Karyotype,30245
LDB2,549505,,Karyotype,30253
NFKBIE,644347,,Karyotype,29841
RTKN2,395409,,Karyotype,29129
CASTOR1,600639,,Karyotype,29397
CCDC88B,527011,,Karyotype,29434
FAM117B,495094,,Karyotype,30016
TRIM26,137456,,Karyotype,29804
RPS19BP1,254925,,Karyotype,30056
BORCS7-ASMT,409741,,Karyotype,29738
LINC01776,365787,,Karyotype,29870
TSNARE1,895680,,Karyotype,30052
RN7SL167P,446155,,Karyotype,29241
LINC01470,893039,,Karyotype,29972
MAU2,588925,,Karyotype,29975
QPCT,262494,,Karyotype,30288
SLCO6A1,986945,,Karyotype,29237
CCDC68,736385,,Karyotype,29248
MTRFR,218546,,Karyotype,29160
AKT3,113241,,Karyotype,29065
SNORC,365963,,Karyotype,29979
SMIM15-AS1,800773,,Karyotype,29509
LINC02033,835126,,Karyotype,29159
MIR137HG,694847,,Karyotype,29292
PTGES3P4,501299,,Karyotype,29475
LINC02057,125164,,Karyotype,29415
KLC1,861687,,Karyotype,29868
LINC02551,681063,,Karyotype,29397
SHMT2,231142,,Karyotype,29835
CNKSR2,820045,,Karyotype,30013
LINC01360,152918,,Karyotype,29425
NRGN,947633,,Karyotype,29936
PPP1R16B,263624,,Karyotype,30146
EP300-AS1,944971,,Karyotype,29705
LINC01415,406393,,Karyotype,29236
RNU6-1029P,193415,,Karyotype,29638
NDUFB9P3,663496,,Karyotype,29324
IGSF9B,637045,,Karyotype,30183
KCTD13-DT,353671,,Karyotype,29141
STAG1,313684,,Karyotype,29625
GRM3-AS1,372599,,Karyotype,29876
RPL6P31,451720,,Karyotype,29562
PLCH2,345431,,Karyotype,29106
CLCN3,671064,,Karyotype,29152
SRPK2,473018,,Karyotype,29695
SELENOH,948398,,Karyotype,29240
KRT18P50,636507,,Karyotype,29902
LBX1,221419,,Karyotype,29683
ADGRG6,421922,,Karyotype,29489
GTF2I-AS1,799241,,Karyotype,29081
GPR78,676465,,Karyotype,29276
RSRC1,805644,,Karyotype,30222
SNHG31,761566,,Karyotype,30073
LIN28B,311466,,Karyotype,29603
HSD17B12,877105,,Karyotype,29624
MIR4675,326607,,Karyotype,30119
CDK8,362600,,Karyotype,29534
PRKN,411885,,Karyotype,29217
ERBIN,276904,,Karyotype,29302
ST3GAL1,522304,,Karyotype,29964
SPSB4,535841,,Karyotype,29715
ASB3,799316,,Karyotype,29521
LINC02455,750635,,Karyotype,29837
BAZ2B,380527,,Karyotype,29338
MIR302F,953917,,Karyotype,29024
ELF1,786349,,Karyotype,30105
SIMALR,625888,,Karyotype,30108
H2BP5,218139,,Karyotype,30071
CARMIL1,988914,,Karyotype,29877
CDHR5,221232,,Karyotype,29261
ATG5,582654,,Karyotype,28943
LINC01088,451765,,Karyotype,29029
CDK18,750810,,Karyotype,29058
CERCAM,837737,,Karyotype,29473
PRPS2,324701,,Karyotype,29247
LINC02834,731810,,Karyotype,29688
FAM171A1,609034,,Karyotype,29370
MIR4462,375662,,Karyotype,29503
PGPEP1,477884,,Karyotype,29858
MAN1A1,788798,,Karyotype,29835
LINC00208,809675,,Karyotype,29799
PCNX3,498578,,Karyotype,29604
RN7SL123P,812768,,Karyotype,29739
ZNF697,563830,,Karyotype,30024
PSORS1C2,877150,,Karyotype,30234
NDUFAF2P1,152706,,Karyotype,30139
ZC3H10,166243,,Karyotype,29176
SOX5,305877,,Karyotype,29725
GNGT1,279693,,Karyotype,29244
MARCHF1,744779,,Karyotype,30280
CENPE,415082,,Karyotype,29058
SEPTIN4-AS1,566829,,Karyotype,29414
RPL10P14,480334,,Karyotype,30143
UCK2,598775,,Karyotype,29479
SLC25A44,794047,,Karyotype,29164
PRDM14,300998,,Karyotype,29419
RFWD3,125449,,Karyotype,29961
HPGDS,497014,,Karyotype,29157
TFDP2,614325,,Karyotype,29695
ZFPM1,199236,,Karyotype,30086
BCAR4,404467,,Karyotype,29282
PPIAP74,506510,,Karyotype,29002
MBIP,306398,,Karyotype,29497
PTCSC2,266341,,Karyotype,30139
DUSP14,862298,,Karyotype,30123
ZNF229,289284,,Karyotype,29870
RPL6P14,146657,,Karyotype,29586
RNA5SP430,775223,,Karyotype,29611
SNTG1,340418,,Karyotype,29146
AHCYL2,281044,,Karyotype,29055
NAA25,725520,,Karyotype,30264
INS-IGF2,429350,,Karyotype,29452
LINC01104,790772,,Karyotype,29180
CAPSL,706362,,Karyotype,29133
MEG3,568866,,Karyotype,29449
RNF10,635458,,Karyotype,29255
LINC01151,691726,,Karyotype,29989
EFCAB8,612078,,Karyotype,29216
LINC01579,880819,,Karyotype,29596
RBMS1,498654,,Karyotype,30033
NPM1P47,466758,,Karyotype,29369
CDC123,476163,,Karyotype,30227
TSPAN8,872579,,Karyotype,29762
VDAC1P5,706696,,Karyotype,28942
PEX5L,228655,,Karyotype,28975
PCNX2,709789,,Karyotype,29243
SDHAF4,579632,,Karyotype,29518
FILNC1,550042,,Karyotype,29481
DCDC2C,586852,,Karyotype,29287
TCERG1L,353480,,Karyotype,29418
ACP7,926500,,Karyotype,29278
PLS1,418732,,Karyotype,29752
HMG20A,813077,,Karyotype,30065
HUNK,128512,,Karyotype,29525
KIF11,361384,,Karyotype,29656
AP3S2,924527,,Karyotype,29794
COBLL1,854968,,Karyotype,29019
VPS26A,109784,,Karyotype,30056
FABP5P10,661183,,Karyotype,28969
MTND5P21,283695,,Karyotype,29996
SLC44A3-AS1,864465,,Karyotype,30189
MRFAP1P1,205476,,Karyotype,29014
CCNQ,945015,,Karyotype,29264
RASGRP1,544647,,Karyotype,29005
TMEM163,928950,,Karyotype,30231
FSCN3,214972,,Karyotype,29792
MIR129-1,901781,,Karyotype,29601
SLC16A13,879531,,Karyotype,29382
GPSM1,253033,,Karyotype,29552
MAEA,256864,,Karyotype,29497
UBE2E2-DT,701320,,Karyotype,29782
PABPC4-AS1,476208,,Karyotype,30174
C5orf67,512202,,Karyotype,29723
ADCY5,614245,,Karyotype,29947
UBE2E2,284618,,Karyotype,29461
MIR5702,782538,,Karyotype,28991
KRT18P24,970032,,Karyotype,29037
RPSAP52,484938,,Karyotype,29958
ARAP1,806508,,Karyotype,29249
DGKB,882957,,Karyotype,29744
PROX1-AS1,571066,,Karyotype,30283
TLE1-DT,388778,,Karyotype,28974
MIR4432HG,485371,,Karyotype,29043
ACSL1,959608,,Karyotype,29235
ZZEF1,363539,,Karyotype,28963
CMIP,191210,,Karyotype,29145
UBE3C,953714,,Karyotype,29718
GLP2R,179877,,Karyotype,30268
IL17REL,751187,,Karyotype,29799
SYT4,649041,,Karyotype,29304
LINC02615,453586,,Karyotype,29379
SLCO4C1,535617,,Karyotype,29957
LRP12,851606,,Karyotype,29502
NUFIP2,489300,,Karyotype,30010
EIF4E2P2,828225,,Karyotype,29417
CSRP2,191544,,Karyotype,30124
CACNA1G-AS1,121965,,Karyotype,29683
GADL1,665435,,Karyotype,30075
EYA2,616595,,Karyotype,28996
ETV1,934890,,Karyotype,30166
PMP2,771413,,Karyotype,30119
CRHR2,523903,,Karyotype,30246
HSF1,688461,,Karyotype,29061
OSBPL1A,268612,,Karyotype,29106
LIMS2,145835,,Karyotype,29051
DAAM1,790472,,Karyotype,29229
LINC01339,551657,,Karyotype,29134
OTUD3,809401,,Karyotype,29175
NXPE1,616929,,Karyotype,29851
AMZ1,940982,,Karyotype,29387
PLCL1,893941,,Karyotype,29805
PRXL2B,454118,,Karyotype,29474
SFMBT1,626425,,Karyotype,30198
CEP72-DT,355043,,Karyotype,30151
MMP24OS,603045,,Karyotype,30277
CHP1,306608,,Karyotype,29093
ZFP90,860147,,Karyotype,29890
MICB-DT,170618,,Karyotype,29082
SMURF1,938745,,Karyotype,29384
HELQ,255719,,Karyotype,29515
LINC01122,760795,,Karyotype,29331
ELFN2,641712,,Karyotype,29280
MTARC2P1,703289,,Karyotype,29418
JPH1,431854,,Karyotype,29837
NME7,876310,,Karyotype,29506
RN7SL120P,671058,,Karyotype,29956
SUSD1,669465,,Karyotype,29271
TSPAN15,307107,,Karyotype,29631
SLC44A2,454880,,Karyotype,30174
CACNG5,521901,,Karyotype,30045
SLC44A4,762153,,Karyotype,30193
HCG9,367805,,Karyotype,29832
UBASH3A,847255,,Karyotype,29242
COX7CP3,344424,,Karyotype,29058
DDX1,441016,,Karyotype,29007
LINC01804,684465,,Karyotype,29176
PRR9,123389,,Karyotype,29055
JAK1,278205,,Karyotype,29233
HBP1,196443,,Karyotype,29806
NOC2L,287612,,Karyotype,29347
GRB2,346527,,Karyotype,29390
NOL4,373897,,Karyotype,29267
ST8SIA4,969783,,Karyotype,29775
FILIP1,214150,,Karyotype,29920
MTRF1LP2,530139,,Karyotype,29590
IL11,249150,,Karyotype,29951
LTBP3,935960,,Karyotype,29505
RFLNA,422192,,Karyotype,29638
TMEM220-AS1,746821,,Karyotype,29684
SLCO2A1,773169,,Karyotype,29943
LINC01228,869741,,Karyotype,29740
PPP1R21,525503,,Karyotype,29680
L1TD1,454839,,Karyotype,29855
BOLA3P3,594934,,Karyotype,29897
EFCAB2,928729,,Karyotype,29805
DENND5B,526650,,Karyotype,30282
CD2AP-DT,381377,,Karyotype,29919
